TransacaoID,Data,Itens,TotalItens,Categorias
T1,2025-06-12 08:24:16.613879,"Amendoim, Biscoito Salgado, Cerveja Pilsen, Batata Chips, Castanha de Caju",5,"Cervejas, Acompanhamentos"
T2,2025-04-29 08:24:16.613879,"Fralda M, Mamadeira, Leite em Pó",3,Bebês
T3,2025-03-18 04:24:16.613879,"Limpa-Fornos, Inseticida, Detergente Industrial, Multiuso, Água Sanitária, Desinfetante, Saco de Lixo",7,"Limpeza Geral, Limpeza Pesada"
T4,2025-03-19 10:24:16.613879,"Pão Francês, Vodka, Rum, Manteiga, Leite Integral",5,Destilados
T5,2025-06-08 01:24:16.613879,"Espumante, Saco de Lixo, Tequila, Desinfetante, Fio Dental, Limpa-Fornos, Detergente Industrial, Arroz Integral, Arroz Branco, Salgadinhos, Papinha, Vinho Tinto Seco, Álcool 70%, Cerveja Artesanal, Cerveja Weiss",15,"Destilados, Limpeza Pesada, Limpeza Pessoal, Bebês, Limpeza Geral, Vinhos, Cervejas, Grãos, Acompanhamentos"
T6,2025-03-02 05:24:16.613879,"Fralda G, Vinho Tinto Seco, Saco de Lixo",3,"Limpeza Geral, Vinhos, Bebês"
T7,2025-06-13 10:24:16.613879,"Fralda M, Condicionador, Mamadeira, Shampoo, Leite em Pó",5,"Limpeza Pessoal, Bebês"
T8,2025-06-02 08:24:16.613879,"Limpa Vidros, Multiuso, Amaciante, Desinfetante, Saco de Lixo",5,"Limpeza Pesada, Limpeza Geral"
T9,2025-03-11 06:24:16.613879,"Pomada Assadura, Lenço Umedecido, Fralda P",3,Bebês
T10,2025-02-26 02:24:16.613879,"Azeitona, Rum, Gin, Whisky, Cerveja Weiss, Biscoito de Polvilho, Tequila",7,"Cervejas, Destilados, Acompanhamentos"
T11,2025-01-25 11:24:16.613879,"Limpa-Fornos, Inseticida, Água Sanitária, Amaciante, Sabão em Pó",5,"Limpeza Geral, Limpeza Pesada"
T12,2025-06-13 06:24:16.613879,"Amendoim, Cerveja Pilsen, Batata Chips",3,"Cervejas, Acompanhamentos"
T13,2025-06-13 08:24:16.613879,"Sabonete Líquido, Fralda M, Condicionador, Mamadeira, Fio Dental, Creme de Barbear, Leite em Pó",7,"Limpeza Pessoal, Bebês"
T14,2025-02-04 06:24:16.613879,"Vinho Rosé, Desinfetante, Arroz Branco, Castanha de Caju, Fralda G, Cerveja Pilsen, Limpa Vidros, Arroz Integral, Grão-de-Bico, Vinho do Porto, Pomada Assadura",11,"Limpeza Pesada, Vinhos, Bebês, Cervejas, Limpeza Geral, Grãos, Acompanhamentos"
T15,2025-05-23 03:24:16.613879,"Macarrão Instantâneo, Torradas, Biscoito Salgado, Multiuso, Saco de Lixo, Tequila, Chupeta, Sabonete Líquido, Mamadeira, Cerveja Pilsen",10,"Destilados, Massas, Limpeza Pessoal, Limpeza Geral, Bebês, Cervejas, Acompanhamentos"
T16,2025-05-15 08:24:16.613879,"Amendoim, Vodka, Cerveja Pilsen, Whisky, Batata Chips",5,"Cervejas, Destilados, Acompanhamentos"
T17,2025-04-21 09:24:16.613879,"Sabonete Líquido, Papinha, Fralda G",3,"Limpeza Pessoal, Bebês"
T18,2025-06-10 10:24:16.613879,"Arroz Branco, Feijão Carioca, Torradas, Óleo de Soja, Castanha de Caju, Tábua de Queijos",6,"Grãos, Acompanhamentos"
T19,2025-03-17 08:24:16.613879,"Sabonete Líquido, Papinha, Fralda G",3,"Limpeza Pessoal, Bebês"
T20,2025-01-05 03:24:16.613879,"Azeitona, Biscoito de Polvilho, Batata Chips, Cerveja Weiss",4,"Cervejas, Acompanhamentos"
T21,2025-04-24 09:24:16.613879,"Amendoim, Torradas, Cerveja Pilsen, Batata Chips, Castanha de Caju",5,"Cervejas, Acompanhamentos"
T22,2025-06-07 11:24:16.613879,"Limpa-Fornos, Álcool 70%, Inseticida, Limpa Vidros, Água Sanitária, Pasta de Dente, Desinfetante",7,"Limpeza Pessoal, Limpeza Geral, Limpeza Pesada"
T23,2025-01-17 03:24:16.613879,"Fralda M, Fralda P, Mamadeira, Fralda G, Pomada Assadura, Leite em Pó",6,Bebês
T24,2025-02-22 08:24:16.613879,"Água Sanitária, Amaciante, Sabão em Pó",3,"Limpeza Geral, Limpeza Pesada"
T25,2025-02-19 02:24:16.613879,"Arroz Branco, Cachaça, Vodka, Feijão Carioca, Rum, Óleo de Soja, Tequila",7,"Grãos, Destilados"
T26,2025-02-26 07:24:16.613879,"Sabonete Líquido, Fralda P, Mamadeira, Papinha, Fralda G",5,"Limpeza Pessoal, Bebês"
T27,2025-05-08 00:24:16.613879,"Desentupidor, Limpa-Fornos, Detergente Industrial, Multiuso, Água Sanitária, Desinfetante, Saco de Lixo",7,"Limpeza Geral, Limpeza Pesada"
T28,2025-04-28 12:24:16.613879,"Vodka, Macarrão Espaguete",2,"Massas, Destilados"
T29,2025-01-07 08:24:16.613879,"Whisky, Farinha de Trigo, Tequila, Salgadinhos, Cerveja Artesanal, Água Sanitária",6,"Destilados, Limpeza Pesada, Massas, Cervejas, Acompanhamentos"
T30,2025-03-11 01:24:16.613879,"Espumante, Lenço Umedecido, Cerveja Zero Álcool, Tequila, Biscoito de Polvilho, Desentupidor, Desinfetante, Papinha, Mamadeira, Castanha de Caju, Vinho do Porto, Vinho Branco, Macarrão Espaguete",13,"Destilados, Limpeza Pesada, Massas, Vinhos, Bebês, Cervejas, Acompanhamentos"
T31,2025-05-14 01:24:16.613879,"Rum, Vodka, Cachaça, Gin, Whisky, Cerveja IPA, Castanha de Caju, Tábua de Queijos",8,"Cervejas, Destilados, Acompanhamentos"
T32,2025-03-25 04:24:16.613879,"Azeitona, Biscoito de Polvilho, Batata Chips, Cerveja Weiss",4,"Cervejas, Acompanhamentos"
T33,2025-06-08 08:24:16.613879,"Arroz Branco, Feijão Carioca, Lenço Umedecido, Óleo de Soja, Fralda P, Papinha, Pomada Assadura, Leite em Pó",8,"Grãos, Bebês"
T34,2025-03-03 07:24:16.613879,"Mamadeira, Vinho Rosé, Vinho Branco, Biscoito Salgado, Chupeta",5,"Acompanhamentos, Vinhos, Bebês"
T35,2025-03-01 00:24:16.613879,"Sabonete Líquido, Condicionador, Lenço Umedecido, Fralda P, Fio Dental, Pasta de Dente, Pomada Assadura, Creme de Barbear",8,"Limpeza Pessoal, Bebês"
